	tweet	user	user_statuses_count	user_followers	user_verified	fav_count	rt_count	date
0	@McrCr_ cant believe it man didn’t get a touch	I	4201	16	False	0	0	2021-02-02 20:21:02
1	"@Not_the_Bee &gt; save all your toilet seats
&gt; become infamous by committing war crimes
&gt; kys
&gt; ??????
&gt; PROFIT!!!!!!!!"	Skull Wizard Dragon	12360	200	False	0	0	2021-02-02 20:20:54
2	@faiznutd their squad is ass you can’t lose	I	4201	16	False	0	0	2021-02-02 20:20:31
3	@kys_pal Told u hed flop 😭	🧬	828	298	False	0	0	2021-02-02 20:20:15
4	@McrCr_ ffs fam	I	4201	16	False	0	0	2021-02-02 20:19:37
5	I hate when places take cash only 😭	iamAIRWRECKA. ☺️	72243	1283	False	0	0	2021-02-02 20:18:27
6	RT @iannhaley: hay to the BOYS that keep begging a women to have sex with them after she said NO the first time,,, youre going to hell fyi…	Sage Arianna.	4749	310	False	0	10	2021-02-02 20:15:18
7	@6undys 20 days for fifa 20 i did like 31 dawg you really are a casual	I	4201	16	False	0	0	2021-02-02 20:12:25
8	@YduolcLe @CloudyLeRetour Its not as easy as you think to kys	@FlNlAN	31330	436	False	0	0	2021-02-02 20:10:32
9	real friendship is asking ur friends if theyre ok w kys jokes before making them	miz 🫐 ceo of vampy door	20029	271	False	3	0	2021-02-02 20:08:19
10	"Like seriously fuck you ""sorry for the late reply"" late is like 4 hours. Unless you was kys, in a coma, all your tech was broke , fatal disease, family member died just let me be"	veryregularperson	649	6	False	0	0	2021-02-02 20:04:06
11	@mintinchat LMAO YES I say “kys” to my friends all the time as a joke	ray/will 🦦	7913	358	False	0	0	2021-02-02 20:04:05
12	@therealbadass_x @SherQuan_17 Lol right!	2021 fulla fuck too.	32576	2218	False	0	0	2021-02-02 20:02:26
13	@imdoingurmomma aha don’t kys you’re too sexy *smirks and bites lip*	♡	907	32	False	0	0	2021-02-02 20:01:18
14	@Arsenal cheers lads AFTV is gonna be amazing now https://t.co/kmspLU2kST	I	4201	16	False	0	0	2021-02-02 20:00:22
15	But if i tell U to kys ima be Wrong 😕	⋆¸*ೃ☼ryn	5270	936	False	0	0	2021-02-02 19:59:31
16	@iKlSSIZUKU KYS ????? /j /lh	san ₍⸍⸌̣ʷ̣̫⸍̣⸌₎ dick cheese !! ✰	51003	578	False	1	0	2021-02-02 19:58:50
17	I started to like dream stans but the  qrts changed my mind. Telling Schlatt to kys because he used a copypasta of your precious dweam is so fucking dumb https://t.co/2zJGUdhzDD	casper 🐏	946	65	False	4	0	2021-02-02 19:58:42
18	don’t expect me to b the bigger person anymore i am DONE i will literally tell u to kys	madisen #blm	2428	222	False	0	0	2021-02-02 19:56:51
19	Never thought someone could be so shitty. Like just so absolutely heartless and shitty. I know I'm better off but like holy fuck what a terrible way to act #kys	Buster Highman	16158	368	False	0	0	2021-02-02 19:55:42
20	@WBA @eToro gallagher deserves better you ass club	I	4201	16	False	0	0	2021-02-02 19:54:56
21	how about you kys bestie 😁 https://t.co/8gXVNQuzmm	Sunny	9985	101	False	0	0	2021-02-02 19:54:26
22	"RT @Marcman55: Once I pay my credit cards off I’m ripping those shits up 😂
Don’t need those demons rn"	iamAIRWRECKA. ☺️	72243	1283	False	0	4	2021-02-02 19:54:00
23	2018 was definitely one of my good years! https://t.co/d09UtNmNHH https://t.co/Chf4YKEFr6	2021 fulla fuck too.	32576	2218	False	1	0	2021-02-02 19:53:41
24	RT @_SeanKemp: So he don’t see that iPhone right in front of him recording him?	iamAIRWRECKA. ☺️	72243	1283	False	0	1	2021-02-02 19:52:44
25	haha love the fact people be like omg dont kys and shit but then two seconds later there like go kys to a random like what are you on to think thats okay  like bro is the only way that your going to realize that its not okay to say that is when somebody actually kts bc of you??	Skylar 🩹❤️	2017	128	False	2	0	2021-02-02 19:52:30
26	I’m crying 🤣🤣🤣🤣 https://t.co/wRTCQ5DQYH	iamAIRWRECKA. ☺️	72243	1283	False	0	0	2021-02-02 19:52:14
27	@_marzdoll bro idk who tf told ppl you had to be nice i’ll tell u to kys no remorse like wtf did u think i was gonna say respect is mutual	karl	727	43	False	2	0	2021-02-02 19:50:13
28	RT @Chipette98: People need to realize that there is literally no secret code to making these men like you. Either they do or they don’t. M…	iamAIRWRECKA. ☺️	72243	1283	False	0	808	2021-02-02 19:49:16
29	I left my house for no reason	iamAIRWRECKA. ☺️	72243	1283	False	0	0	2021-02-02 19:48:12
30	"tw // self harm 
.
.
.
.
.
.
.
.
.
.
you kept saying she and women like her deserved domestic abuse, u called her racials slurs (like a looot and on every post talking abt her), and u slut-shamed her, so pls go ahead and kys u incel https://t.co/wzeDkpypf2"	🎈🐝 ˣ	7756	844	False	3	0	2021-02-02 19:47:57
31	Still whoever made this i want you to kys https://t.co/N6QgiKqTq2	Luca	21224	336	False	1	0	2021-02-02 19:46:59
32	boys piss me off so much like kys	✨🪐🙈	894	89	False	0	0	2021-02-02 19:46:47
33	@hazen_ping @ghost_km42 @dorothyofisrael @AuschwitzMuseum Imma just stop this here because this is clearly a troll account or burner account. If you got nothing better to do, kys. Imagine putting “black” in the burner bio 😭 just be racist and proud bro.	ANTIFA District Manager	3750	417	False	2	0	2021-02-02 19:46:14
34	@quackjjun yes its just about my now habit on telling people to kys 💀	zen	10286	764	False	0	0	2021-02-02 19:46:13
35	uhm when you say you wanna kys as a joke in a gc, and then someone asks if your ok, don’t act like it’s funny, it’s not	Rose〰️RT PINNED	5585	1572	False	0	0	2021-02-02 19:45:26
36	but when I tell them mfs to kys I’m the bad guy 🙄 https://t.co/JwuDJRsOur	dae⁷ᴮᴱ	25704	523	False	1	0	2021-02-02 19:44:13
37	"RT @waneella_: Looks Like A Nice Place

https://t.co/7tKyPGPtdZ https://t.co/nehDKFi2N3"	kys	100	10	False	0	796	2021-02-02 19:43:52
38	@dazai_kys ME TOO 😞😞💔💔😭😭	ًstar TAKEN RELEASED FROM JAIL	8992	1004	False	1	0	2021-02-02 19:43:43
39	RT @MetiNTBG: I kinda want to make a video about the really tall Resident Evil lady	Plat :)	1471	56	False	0	2	2021-02-02 19:43:13
40	hope u d!e !!!!! &lt;333 kys &lt;333333 https://t.co/O26AxofZuo	alaa?! ⁷ ☀️	14661	612	False	3	0	2021-02-02 19:42:56
41	“unfollowing to 0 Reply for fb 🥺🥺” kys 😕	kenny 🌱	4287	112	False	8	0	2021-02-02 19:41:04
42	THIS IS ALL YOUR FUCKING FAULT EDUARDO HAGN KYS	🥤	682	117	False	6	1	2021-02-02 19:39:55
43	Look at Turkey Super Lig. Look at the injustice #UefaTurkishFootballCheckOver	Gölge	3717	218	False	0	0	2021-02-02 19:38:39
44	@jew__rat when u kys	lol	689	138	False	1	0	2021-02-02 19:36:00
45	you mfs are just plain weird trying to justify being racist and y’all parents need to be stomped out too, kys! https://t.co/H7KoN9n1f8	❀⁷	24421	145	False	0	0	2021-02-02 19:34:40
46	@digit4lbath_ @hun43dead don’t kys u r sexy u will deprive the world	m	39525	2187	False	1	0	2021-02-02 19:34:39
47	i wish nothing but the WORST for the ref rn. kys https://t.co/rA96ByHlyj	6’1 w NO hoes 💯// 🇵🇷🇨🇴	11263	1066	False	0	0	2021-02-02 19:33:59
48	RT @ughhmedusa: how hard is it to shut tf up?? giving think pieces about a community youre not apart of..  if youre not black shut up, if y…	Symone 🦂	157880	1745	False	0	5	2021-02-02 19:30:21
49	@DJSCHEME_ kys pls	liam towne	75	14	False	0	0	2021-02-02 19:26:02
50	I vibe with chowder	truc	3984	108	False	0	0	2021-02-02 19:24:56
51	RT @ughhmedusa: how hard is it to shut tf up?? giving think pieces about a community youre not apart of..  if youre not black shut up, if y…	Ori 🇬🇾	2600	182	False	0	5	2021-02-02 19:24:27
52	"@SweetGummyGator @plankhandles I still get anon messages in my old email every so often telling me to kys from an incident years ago from popular wow folks.
it's a genuine fear. that stuff f*cks with a person hard. which makes it scarier to even speak up at all during events."	✨Spooky Shadowlands Druid ✨	5086	127	False	1	0	2021-02-02 19:24:01
53	"tw// threats 

stop telling me/other people to kys, there are real people behind the account, and you never know what people are going through. Stop telling people that, its never ok. i have gotten many and it hurts and makes me feel non important. THEY  ARE REAL PEOPLE"	°•gabs•°	422	85	False	0	0	2021-02-02 19:22:54
54	RT @ACSawyerJustice: I want us to keep talking about the fact that a 9-year-old Black girl was pepper-sprayed by police during a mental hea…	Dayana Kitcher Suarez	7434	51	False	0	97785	2021-02-02 19:22:16
55	@6undys you got all the foreigners in🤮 not very brexit of you fella	I	4201	16	False	0	0	2021-02-02 19:21:39
56	@BN_TF2 @SyncedTF2 OOOOOOOOOOOOOOOOOO HE SAID THE KYS THINGY	Ayo?	26	1	False	1	0	2021-02-02 19:21:14
57	@kys_pal got rid of my english players too sigh	bundy	9894	284	False	0	0	2021-02-02 19:19:53
58	but if i tell you to kys imma be in the wrong?😩 https://t.co/5btfxRd5Ll	lia⁷(yeonjuns gf)	2184	291	False	0	0	2021-02-02 19:18:19
59	RT @ughhmedusa: how hard is it to shut tf up?? giving think pieces about a community youre not apart of..  if youre not black shut up, if y…	Taylor 🦋	11005	262	False	0	5	2021-02-02 19:17:14
60	RT @ughhmedusa: how hard is it to shut tf up?? giving think pieces about a community youre not apart of..  if youre not black shut up, if y…	𝔏𝔞 𝔖𝔞𝔫𝔱𝔞 𝔑𝔢𝔤𝔯𝔦𝔱𝔞	20274	661	False	0	5	2021-02-02 19:14:08
61	RT @ughhmedusa: how hard is it to shut tf up?? giving think pieces about a community youre not apart of..  if youre not black shut up, if y…	cee-jay	37355	510	False	0	5	2021-02-02 19:12:32
62	RT @blackishh_: You ever misspelled a word so bad  autocorrect don't even help you out.	Dayana Kitcher Suarez	7434	51	False	0	283	2021-02-02 19:10:28
63	RT @trini__ny: A Snow day in nyc ❄️ https://t.co/nPZcXxCrrY	Dayana Kitcher Suarez	7434	51	False	0	33617	2021-02-02 19:10:00
64	@bonandreas_ @BraindeadBasics @hnyleja @knoggaswrld Xd social reject kys	//127.0.0.1	1019	37	False	0	0	2021-02-02 19:08:57
65	@muichirolvr well we arent kys	fio hates chloe	6624	170	False	1	0	2021-02-02 19:07:23
66	pretending u don’t wanna kys to the poor receptionist &gt;&gt;&gt; pretending to ur therapist	moth 🪐 tw	583	73	False	0	0	2021-02-02 19:05:43
67	RT @Prototype_Ti: Pre internet. Pre Google. Pre social media. Y’all really can’t even imagine.	Dayana Kitcher Suarez	7434	51	False	0	21595	2021-02-02 19:05:21
68	like yessss call people out for being “ableist” and then use slurs, threaten them and tell them “kys”!!! a hero for neurodivergent people everywhereee	aria~🐾	2818	83	False	1	0	2021-02-02 19:03:56
69	@amirkeal123 to the ref, in the words of Soso kys	GMBen	5490	537	False	0	0	2021-02-02 19:03:14
70	@WestHamDiscuss @pubIad kys mate	Michael 🇧🇪🇳🇬	4986	493	False	1	0	2021-02-02 19:02:38
71	@6undys jesus	I	4201	16	False	0	0	2021-02-02 19:00:23
72	kyle bestie don't be shy do us a favor and kys	ً thiri⁷ ray's val | hobiuary	15079	1274	False	2	0	2021-02-02 18:59:13
73	RT @immanwrld: I’m so happy for her https://t.co/FiLPRahgrt	Dayana Kitcher Suarez	7434	51	False	0	3019	2021-02-02 18:58:24
74	VAR is the most corrupt thing ever. I hope they all gucking lose their jobs. Bastards. Kys.	AFCZN™️	893	125	False	1	0	2021-02-02 18:58:10
75	Guys my first kys on twitter dot com https://t.co/8GrVbI5y2k	cam 🌟	10069	62	False	0	0	2021-02-02 18:57:09
76	we say kys as a joke bc we all friends w each other for 2+ years n you straight up want someone to DIE lmao	rich	3175	213	False	0	0	2021-02-02 18:56:49
77	@jeonsrs dont kys, k!ll the other person 🥰	v⁷ 🐼🌿	34019	869	False	0	0	2021-02-02 18:56:39
78	@jscwrId KYS i think	mai	15695	268	False	0	0	2021-02-02 18:56:24
79	@kw98n KYS .. /j https://t.co/wIHKobyajR	kai ^__^	921	130	False	0	0	2021-02-02 18:55:55
80	"RT @hellom3lody: Dudes ghost u then B lik """"sry i was busy🥺!"""" Idc either,,respond or kys"	k	2742	240	False	0	4	2021-02-02 18:55:34
81	RT @noticemisenpaii: it’s always ‘i wanna marry u’ never ‘here’s $300 thanks for not kys today’😞	izzy	15649	183	False	0	4	2021-02-02 18:55:32
82	"""Honey, I need u to be a weeb"""	Fafik	129	14	False	1	0	2021-02-02 18:55:08
83	how hard is it to shut tf up?? giving think pieces about a community youre not apart of..  if youre not black shut up, if youre not a lesbian shut up. either mind ya business or kys. i dont care.	venus	11207	8808	False	27	5	2021-02-02 18:54:55
84	RT @Chiiiigawd: If you eat FUCKIN COLESLAW literally stfu for the rest of your life. Never speak again kys‼️	Neon Black	5	2	False	0	1	2021-02-02 18:54:53
85	kys. ong 🙏🏼 https://t.co/KiPCOp60Be	‏ً	8522	221	False	0	0	2021-02-02 18:54:43
86	@kys_pal if only i could fit him https://t.co/DVEdoxJCTr	bundy	9894	284	False	1	0	2021-02-02 18:52:12
87	@Kys_mommy14 We not paying that	Judee	59553	825	False	0	0	2021-02-02 18:51:20
88	@6undys they boosted him that much 😮	I	4201	16	False	0	0	2021-02-02 18:51:00
89	THIS FUCKING SHITTY WHORE LEAGUE IS SO SHITTY PLEASE CREATE A SUPER LEAGUE SO WE CAN AVOID THESE FUCING FAT PRICK WHORE CANCER REFEREE FAGGOTS GO KYS PLS FUCK YOU	RunarGOAT 🇸🇪 |	655	169	False	0	0	2021-02-02 18:50:43
90	"@gqtoryt ""kys (f-slur)"" drained a 1400 as a 1200"	owo	256	4	False	0	0	2021-02-02 18:50:37
91	if u use bottom or vanilla as an insult kys	🐈	4505	66	False	0	0	2021-02-02 18:49:41
92	@Arsenal HES BACK	I	4201	16	False	0	0	2021-02-02 18:48:50
