	tweet_id	tweet_date	tweet	tweet_likes	tweet_retweets	tweet_is_quote	tweet_entities	user_id	user_date	user_handle	user_name	user_description	user_is_verified	user_posts	user_likes	user_followers	user_friends	user_location	user_entities
0	1379263159635218435	2021-04-06 02:42:17	you’re a dirty cotton picking nigger stfu https://t.co/xVYpVv5XQh	0	0	True	{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/xVYpVv5XQh', 'expanded_url': 'https://twitter.com/twinswithdemons/status/1379262512865087488', 'display_url': 'twitter.com/twinswithdemon…', 'indices': [42, 65]}]}	1352776155313692678	2021-01-23 00:32:36	AmareFaiyaz	Amare 🎸	cockroach gang. @WEALLGLO and @vvsteo stan acc. https://t.co/45XUOykSqX	False	1370	600	205	383		{'description': {'urls': [{'url': 'https://t.co/45XUOykSqX', 'expanded_url': 'http://onlyfans.com/amare', 'display_url': 'onlyfans.com/amare', 'indices': [48, 71]}]}}
1	1379263077468708865	2021-04-06 02:41:57	nigger nigger nigger nigger watermelon chicken	0	0	False	{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}	1358688763954700288	2021-02-08 08:07:10	zPlasma__	big fat nigger	all my homies niggers	False	391	772	40	77		{'description': {'urls': []}}
2	1379262788217012228	2021-04-06 02:40:48	@BradPowers7 Fuck that Brad. He is a nigger and should be kicked off for that fact alone. Animal cruelty is just an extra incentive. You and the rest of the folks need to realize this	0	0	False	{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BradPowers7', 'name': 'Brad Powers', 'id': 775803895, 'id_str': '775803895', 'indices': [0, 12]}], 'urls': []}	2901095499	2014-12-01 19:49:50	tmmahon1	Timothy Mahon		False	28	6	13	41		{'description': {'urls': []}}
3	1379262091929001990	2021-04-06 02:38:02	"White r6 kid starter pack: 
“NIGGER” 
“Ur BlAcK”
“UR FAT”
“NEW GEN”
“I hate black ppl” 😂😂😂that’s what every r6 player says nowadays"	3	0	False	{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}	1293702999374798851	2020-08-13 00:16:58	JikuoR6	Jikuo	hey 💞 🙄 sub to meh YouTube @Jikuo ‼️	False	373	364	40	38	1600	{'description': {'urls': []}}
4	1379261812265398274	2021-04-06 02:36:56	@sexuallymir @r_ckyy @itsxlysse Nigger y’all still on this	1	0	False	{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sexuallymir', 'name': 'golden girl', 'id': 1367343319479689216, 'id_str': '1367343319479689216', 'indices': [0, 12]}, {'screen_name': 'r_ckyy', 'name': 'r!ckyy', 'id': 762428812395028483, 'id_str': '762428812395028483', 'indices': [13, 20]}, {'screen_name': 'itsxlysse', 'name': 'Kayy 🥀🤩', 'id': 1179050611272245249, 'id_str': '1179050611272245249', 'indices': [21, 31]}], 'urls': []}	1127810007540600835	2019-05-13 05:37:14	jaden06739829	jjohnson2323	https://t.co/xon02pNfVd	False	586	217	171	957		{'url': {'urls': [{'url': 'https://t.co/pYU7cwZDtj', 'expanded_url': 'https://www.youtube.com/channel/UCPLaUnPoI3GcTekvWVmUwHg', 'display_url': 'youtube.com/channel/UCPLaU…', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/xon02pNfVd', 'expanded_url': 'https://twitch.tv/jjohnson2323', 'display_url': 'twitch.tv/jjohnson2323', 'indices': [0, 23]}]}}
5	1379261650142855168	2021-04-06 02:36:17	@Silentr3bel1 @cocodippedyei @JamelTheCreator No.  Nigger.  A pejorative term to describe someone lesser.	0	0	False	{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Silentr3bel1', 'name': 'Silentr3bel', 'id': 1189833676630179841, 'id_str': '1189833676630179841', 'indices': [0, 13]}, {'screen_name': 'cocodippedyei', 'name': 'Yeizzy taught you', 'id': 2524242353, 'id_str': '2524242353', 'indices': [14, 28]}, {'screen_name': 'JamelTheCreator', 'name': 'Don’t Argue With Me If You Dont Have Any Citations', 'id': 1108363081766391808, 'id_str': '1108363081766391808', 'indices': [29, 45]}], 'urls': []}	1352408604905672705	2021-01-22 00:12:09	Spike20211	Spike2021	Semi-retired philanthropist, philanderer, philosopher	False	1013	1157	32	179	Phuket, Thailand. PNW	{'description': {'urls': []}}
6	1379261285574062088	2021-04-06 02:34:50	@Ihatethisshitxx don’t tell me what to do nigger	0	0	False	{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Ihatethisshitxx', 'name': 'Third-Party Trauma', 'id': 1208637360986087424, 'id_str': '1208637360986087424', 'indices': [0, 16]}], 'urls': []}	1108197403574849536	2019-03-20 02:43:45	Damn_Datscrazy	🌑	I’m just here for the funny tweets	False	108849	2792	230	225	Chicago, IL	{'url': {'urls': [{'url': 'https://t.co/lEdkIaglMI', 'expanded_url': 'https://anchor.fm/steven756', 'display_url': 'anchor.fm/steven756', 'indices': [0, 23]}]}, 'description': {'urls': []}}
7	1379260700112134145	2021-04-06 02:32:30	Nigger	4	0	False	{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}	1378792345446014979	2021-04-04 19:31:52	GeorgeF84359481	George Floyd Vevo	Social justice figure, Fentanyl addict, And overall good guy	False	68	63	39	45		{'description': {'urls': []}}
8	1379260647754625025	2021-04-06 02:32:18	"@AttorneyCrump No one has mentioned that body cam 3. X6039A527
audio one of the officers calling him a nigger? You can only catch it slow motion. https://t.co/BHfq3WWncd"	0	0	False	{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AttorneyCrump', 'name': 'Ben Crump', 'id': 151967576, 'id_str': '151967576', 'indices': [0, 14]}], 'urls': [], 'media': [{'id': 1379260644441137157, 'id_str': '1379260644441137157', 'indices': [146, 169], 'media_url': 'http://pbs.twimg.com/media/EyQeP5yXIAUk_oU.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EyQeP5yXIAUk_oU.jpg', 'url': 'https://t.co/BHfq3WWncd', 'display_url': 'pic.twitter.com/BHfq3WWncd', 'expanded_url': 'https://twitter.com/Cheryllewis0411/status/1379260647754625025/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 2048, 'h': 1152, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}	1347259122408960014	2021-01-07 19:10:00	Cheryllewis0411	Cheryllewis041164@gmail.com		False	2	0	0	1		{'description': {'urls': []}}
9	1379260031036747777	2021-04-06 02:29:51	@platurt @Cagt3000 @eclipselel @Grayolaa @L4st_v1 CRY NIGGER!	0	0	False	"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'platurt', 'name': 'Platurt', 'id': 766270891185561600, 'id_str': '766270891185561600', 'indices': [0, 8]}, {'screen_name': 'Cagt3000', 'name': 'Cagt', 'id': 729223002, 'id_str': '729223002', 'indices': [9, 18]}, {'screen_name': 'eclipselel', 'name': 'Eclipse', 'id': 4099301733, 'id_str': '4099301733', 'indices': [19, 30]}, {'screen_name': 'Grayolaa', 'name': 'Grayola', 'id': 735287158584541184, 'id_str': '735287158584541184', 'indices': [31, 40]}, {'screen_name': 'L4st_v1', 'name': 'Ryan ""L4st"" Krichbaum', 'id': 982327064274579459, 'id_str': '982327064274579459', 'indices': [41, 49]}], 'urls': []}"	819359221938589696	2017-01-12 01:43:56	UberAnnihilator	Ping-Pong	💵	False	10	8	5	27	United States	{'description': {'urls': []}}
