	tweet	user	user_statuses_count	user_followers	user_verified	fav_count	rt_count	date
0	@BW Screw @vladtenev and @RobinhoodApp	Eric Tang	36699	793	False	0	0	2021-01-28 23:59:59
1	"@vladtenev mf looks LOKI from Avengers 

Real life MISCHIEF!

$AMC $GME $NAKD $NOK $SNDL $FUBO $RKT"	MambaMentalityTradeStocks	200	549	False	1	0	2021-01-28 23:59:59
2	@stocktalkweekly @RobinhoodApp @vladtenev @CNBC He needs to be asked who he expects his clients to sell his shares to, if brokerages are prohibiting  clients from buying? Asshole.	Stoney Goldstein	151	50	False	4	0	2021-01-28 23:59:59
3	"RT @yashar: 1. The CEO and co-founder of Robinhood @vladtenev is on CNBC right now with @andrewrsorkin. 

He denies that they have a liquid…"	grace pettigrew	456269	5557	False	0	72	2021-01-28 23:59:59
4	@vladtenev @RobinhoodApp Can’t wait to pull my money out of robinhood	DadsOnTourLLC	201	250	False	0	0	2021-01-28 23:59:59
5	@vladtenev should resign or go to jail!	N8	18752	218	False	0	0	2021-01-28 23:59:59
6	@vladtenev You’re finished buddy 🙃	Lee Turner	783	27	False	0	0	2021-01-28 23:59:59
7	RT @Trevor_W_Abbott: @vladtenev @vladtenev thanks for standing in support of me, your long-time customer. Will you be reimbursing me for th…	The Smug ManBun	4745	148	False	0	21	2021-01-28 23:59:59
8	"@vladtenev ""Everyone"" = Citadel"	Rob Fischer	1257	38	False	0	0	2021-01-28 23:59:58
9	RT @imthedronelord: @Jason @robinhood @vladtenev @CNBC @carlquintanilla @jonfortt @rubenharris I guess u did sell ur soul https://t.co/ICoC…	Altgov	68	6	False	0	3	2021-01-28 23:59:58
10	@vladtenev Excuse me, what does limited trading mean? You’re going to limit us from buying AGAIN? And what are you actually proud of regarding your customer service? You don’t have a phone line, no one communicated clearly on Twitter, no emails were sent, there was NO communication at all.	🐘	23544	412	False	0	0	2021-01-28 23:59:58
11	@vladtenev can I order a put on robinhood. Like not on the site by ON the site.  You just bombed that interview.	Nicky Sticks	1958	144	False	0	0	2021-01-28 23:59:58
12	@vladtenev eat my ass	BPM 37093	4240	87	False	0	0	2021-01-28 23:59:58
13	@vladtenev @RobinhoodApp The day before was everything good and suddenly is bad, yeah i like more the cowboy tales	M3n@ 4Ever	3683	199	False	0	0	2021-01-28 23:59:57
14	@vladtenev Get fucked	Jameson Barnes	42	0	False	0	0	2021-01-28 23:59:56
15	@vladtenev you bombed that interview. Straight to jail. Do not pass Go do not collect $200	Patrick Constant	11414	441	False	0	0	2021-01-28 23:59:56
16	@vladtenev You’re kidding? You think anyone believes you?	Jacob riddle	260	14	False	0	0	2021-01-28 23:59:56
17	@stocktalkweekly @RobinhoodApp @vladtenev @CNBC @RobinhoodApp @vladtenev  what a joke. Once my funds settle, I’m transferring all my positions to another brokerage. Watch your client decease by more than 75%.	JR	30	0	False	4	0	2021-01-28 23:59:55
18	@vladtenev sucks man. This dude is lying through his teeth to save face. Put Robinhood in the ground smh	Whit	3151	182	False	0	0	2021-01-28 23:59:55
19	"RT @SpacTraderinTra: WTF, you mean protect the suits 

#DeleteRobinhood ⁦⁦@vladtenev⁩ as a Eastern European immigrant, your screwing people…"	SeNiLe Trades	1702	33	False	0	2	2021-01-28 23:59:55
20	@vladtenev Sound like another zuckerberg.	eighteenpins	146	3	False	0	0	2021-01-28 23:59:55
21	"@vladtenev ROBBINGHOODRATS
#boycottrobinhood"	cockablockaflame	33	1	False	0	0	2021-01-28 23:59:54
22	RT @yashar: 2. Robinhood CEO @vladtenev says he relates to the CEO of Clorox....basically saying that he has something that's in high deman…	BetterWorld2@Socrates091	17835	1494	False	0	36	2021-01-28 23:59:54
23	"RT @yashar: 1. The CEO and co-founder of Robinhood @vladtenev is on CNBC right now with @andrewrsorkin. 

He denies that they have a liquid…"	🇺🇸Lock him up 🇺🇸	77838	2882	False	0	72	2021-01-28 23:59:53
24	@yashar @vladtenev @andrewrsorkin Looks like a new age shkreli to me	ً	9398	11099	False	7	0	2021-01-28 23:59:53
25	This interview is a disaster. @vladtenev is a joke! https://t.co/sVlXXrRNe6	Billy Richmond	1109	102	False	1	0	2021-01-28 23:59:53
26	Lying on live TV about getting the call. @vladtenev going to jail!	Shane Roach	17126	592	False	1	0	2021-01-28 23:59:53
27	@vladtenev shyster	Christian Lopez	9929	147	False	0	0	2021-01-28 23:59:52
28	"@yashar @vladtenev ""you can buy most stocks!  most!  right from our app."""	Mike B	15628	465	False	5	0	2021-01-28 23:59:52
29	@incarceratedbob @RobinhoodApp @vladtenev The only customer he cares about is the house that funds his company. #RobbingTheHood	nick siuda	877	59	False	0	0	2021-01-28 23:59:51
30	He's is full of shit!! @vladtenev https://t.co/Vk5FbotDua	Fredrick Taylor	3	4	False	0	0	2021-01-28 23:59:51
31	@cnbc @andrewrsorkin this interview @vladtenev interview is worthless. Throw up a few more softballs. Come on man.	🌊🏄‍♂️ Travis Low 🏎💨	2704	1465	False	0	0	2021-01-28 23:59:50
32	@incarceratedbob @RobinhoodApp @vladtenev Can’t let up, this guy is a clown. Everyone should pull their money out immediately and into another fund an keep the foot on the gas!	Rich DePeri	972	143	False	1	0	2021-01-28 23:59:50
33	@vladtenev You owe me $32k for my losses because you guys don't know how to manage your business and liquidity. RH needs to be shut down immediately.  Want my venmo?	kknnaabb	5	16	False	0	0	2021-01-28 23:59:49
34	@vladtenev Andrew Ross was aggressive	Maria I Patino	166	0	False	0	0	2021-01-28 23:59:49
35	Fuck you!!! @vladtenev https://t.co/H6OdLWs4G1	Murr	571	46	False	0	0	2021-01-28 23:59:49
36	@Jason @robinhood @vladtenev @bprafulkumar nah. they’re done. toxic asset now. #DeleteRobinhood	William Kasel - 👾👾	2360	6968	False	0	0	2021-01-28 23:59:49
37	"RT @yashar: 1. The CEO and co-founder of Robinhood @vladtenev is on CNBC right now with @andrewrsorkin. 

He denies that they have a liquid…"	Tata	7162	324	False	0	72	2021-01-28 23:59:48
38	"RT @RileyCNBC: Robinhood CEO @VladTenev now on CNBC: ""We absolutely did not do this at the direction of any market maker."""	Mack Devlin	35613	2061	False	0	40	2021-01-28 23:59:48
39	Currently watching @vladtenev fumblefuck his way through this @CNBC interview. #wallstreetbets	G Me	2537	1206	False	0	0	2021-01-28 23:59:48
40	Compares Robinhood to Clorox and Lysol having a supply problem, then says it wasn’t a supply problem. Okay @vladtenev #DeleteRobinhood #CNBC #amcstock #gamestopstock	Gav 💎👐	229	42	False	0	0	2021-01-28 23:59:48
41	@vladtenev @RobinhoodApp But I loved you in the crow, deadass mf	JaMarcus	11	0	False	0	0	2021-01-28 23:59:48
42	"RT @manal____manal: “ah, um, ah, um...clorox, hand sanitizer, oh, um, ah....i, i, i....” 

STFU @vladtenev"	Bubbles’ Hedge Fund #TRT	7460	1633	False	0	35	2021-01-28 23:59:48
43	@vladtenev Bulshit bro	konstantin brrrrrrrr	1573	129	False	0	0	2021-01-28 23:59:47
44	@SlayinDaveTV @vladtenev Yea they def have a liquidity issue our did it at the direction of citidal	nymarine81	453	111	False	1	0	2021-01-28 23:59:47
45	@vladtenev @RobinhoodApp Only support you're getting is an athletic supporter	JamesHarrishere	28	0	False	0	0	2021-01-28 23:59:47
46	@vladtenev I really hope this ass hat knows no one is buying this shit. He's just protecting his own ass while protecting his hedge fund he skips money to.	FAT MAN TOM CRUISE $GME	17900	89	False	0	0	2021-01-28 23:59:47
